smiles,L,Bmin,Bmax,bur_shell,bur_vol,max_distance,tot_V,disp,max_axis,A2,min_axis
O=Cc2ccc1ccccc1c2,6.44258479,1.7,8.161663580000953,0.0,26.32108457809817,8.260520732839527,0.0017953613164840851,2.8088843205897787,8.24261767852131,0.666600457767966,4.8093987623009114e-06
COc2ccc1cc(C=O)ccc1c2,8.493512990000001,1.7,8.933420880000217,0.0,28.62090164933136,10.346536734366314,102.10615538764117,9.66015196483865,10.312397036733056,0.5312746360428358,0.17524836115050996
O=Cc2ccc1cc(Br)ccc1c2,8.52160558,1.7,8.149034450004379,0.0,26.330330547784392,9.203683046761327,0.001939445518334294,8.824016497017979,9.19261014102083,0.587850306674185,4.2471178191251355e-06
O=Cc1ccccc1,6.33602268,1.7,5.717013210029777,0.0,26.302516503172523,6.096432888398696,0.0013167599237692495,3.0330183102454153,6.095939445643287,0.7690404078018592,7.558498090795539e-06
O=Cc1ccccc1F,6.4168216199999994,1.7,5.7043532800002,0.0,28.251186955913266,6.139388256682986,0.0012533265153586034,1.9043003071468303,6.077546493931294,0.7979005138309304,6.997301917930956e-06
Cc1ccccc1C=O,6.48382319,1.7,5.728803693539111,0.0,36.23822583149354,6.185792126510743,59.84446934368553,6.190348950776871,6.10776376009583,0.8938050195794605,0.29385598375570265
Cc1cccc(C=O)c1,7.3724353,1.7,5.71421141144329,0.0,31.10614928099879,6.894240579745562,53.82981210189998,3.7073915092277248,6.856836029254538,0.7386009304775689,0.2260693684887154
Cc1ccc(C=O)cc1,6.38470336,1.7,6.791688825959512,0.0,31.111629445247086,7.115761173637776,49.680218976230854,6.295209545312268,7.013040447185128,0.6524471811056776,0.22075935236394906
CC(C)(C)c1ccc(C=O)cc1,7.07985816,1.7,8.185204740899675,0.0,42.33277399859354,8.399792880772068,160.75809131730298,2.9650768373901335,8.214742743890467,0.5482800522018707,0.5289181781812169
O=C/C=C/c1ccccc1,8.67060606,1.7,6.911158560145398,0.0,22.76328175478466,8.62963898304211,0.018244238874779852,2.233204791064331,8.628225113794347,0.5483389577321268,5.1797911013956004e-05
CCCCCCCCCC=O,5.70227931,1.7,12.415404101903489,0.0,28.6074359392124,12.375311873754065,129.7201758827605,2.9894162600402887,12.203219778302213,0.2913896423433313,0.2449684304852818
CCCCC=O,7.010877209999999,1.69999999,4.398906549575969,0.0,28.588596450307296,6.3509232030111065,51.04864550304662,5.0076631257448305,6.286933357812893,0.46213707875979404,0.4445256626735332
O=CCCc1ccccc1,5.52600987,1.7,7.961448000001827,0.0,27.128900239372033,8.260725679899348,92.52484121430606,8.022413368900896,8.190122053376808,0.5268799554219754,0.31965061929213173
CC(C)CC=O,5.83629445,1.7,4.904695119456595,0.0,34.057947806034846,5.490066688839738,68.04956487454915,2.529510694822523,5.443432544032387,0.7713985696797814,0.5469252663673624
C1CC=[O+]C1,3.84499746,1.6999999923395555,4.28364624137687,0.0,36.025839368692814,4.270138084338444,29.849763046610875,2.172966930511017,4.065544035037348,0.7248952293418195,0.6127871338118505
C1CC[O+]=CC1,4.03524676,1.7000000035836795,4.479087082695515,0.0,39.695705664996325,4.929296067963474,46.24279540821465,3.3312165772644318,4.2499876598814765,0.9135654767741248,0.6593885370904182
