,Reference,Imine_SMILES,pro_nucleophile_SMILES,Reaction,Catalyst,Catalyst_Type,Co-Catalyst,Additive,Solvent,Temp,Time,eq_imine,eq_nu,eq_catalyst(mol%),ee,yield,rxn_type
0,"J. Am. Chem. Soc. 2000, 122, 38, 9336–9337",COc1ccc(/N=C/c2ccc([N+](=O)[O-])cc2)cc1,CC(C)=O,COc1ccc(/N=C/c2ccc([N+](=O)[O-])cc2)cc1_CC(C)=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,DMSO/Acetone,25,12-48h,1,xs,35,94,50,Scope
1,"J. Am. Chem. Soc. 2000, 122, 38, 9336–9337",COc1ccc(/N=C/c2ccc3ccccc3c2)cc1,CC(C)=O,COc1ccc(/N=C/c2ccc3ccccc3c2)cc1_CC(C)=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,DMSO/Acetone,25,12-48h,1,xs,35,96,35,Scope
2,"J. Am. Chem. Soc. 2000, 122, 38, 9336–9337",COc1ccc(/N=C/CC(C)C)cc1,CC(C)=O,COc1ccc(/N=C/CC(C)C)cc1_CC(C)=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,Acetone,25,12-48h,1,xs,35,93,90,Scope
3,"J. Am. Chem. Soc. 2000, 122, 38, 9336–9337",COc1ccc(/N=C/CC(C)C)cc1,CC(C)=O,COc1ccc(/N=C/CC(C)C)cc1_CC(C)=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,CHCl3/Acetone,25,12-48h,1,xs,35,91,87,Scope
4,"J. Am. Chem. Soc. 2000, 122, 38, 9336–9337",CCCC/C=N/c1ccc(OC)cc1,CC(C)=O,CCCC/C=N/c1ccc(OC)cc1_CC(C)=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,Acetone,25,12-48h,1,xs,35,73,74,Scope
5,"J. Am. Chem. Soc. 2000, 122, 38, 9336–9337",COc1ccc(/N=C/COCc2ccccc2)cc1,CC(C)=O,COc1ccc(/N=C/COCc2ccccc2)cc1_CC(C)=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,Acetone,25,12-48h,1,xs,35,75,82,Scope
6,"J. Am. Chem. Soc. 2000, 122, 38, 9336–9337",COc1ccc(/N=C/C(C)C)cc1,CC(C)=O,COc1ccc(/N=C/C(C)C)cc1_CC(C)=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,DMSO/Acetone,25,12-48h,1,xs,35,70,56,Optimization
7,"J. Am. Chem. Soc. 2000, 122, 38, 9336–9337",CC(C)C/C=N/c1ccc(Cl)cc1,CC(C)=O,CC(C)C/C=N/c1ccc(Cl)cc1_CC(C)=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,Acetone,25,12-48h,1,xs,35,84,56,Optimization
8,"J. Am. Chem. Soc. 2000, 122, 38, 9336–9337",COc1ccccc1/N=C/CC(C)C,CC(C)=O,COc1ccccc1/N=C/CC(C)C_CC(C)=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,Acetone,25,12-48h,1,xs,35,10,43,Optimization
9,"J. Am. Chem. Soc. 2000, 122, 38, 9336–9337",CC(C)C/C=N/c1ccccc1O,CC(C)=O,CC(C)C/C=N/c1ccccc1O_CC(C)=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,Acetone,25,12-48h,1,xs,35,10,51,Optimization
